word,rootsword1,rootsword2
faitheist,faith,atheist
homocapitalism,homosexual,capitalism
boxaerobics,boxing,aerobics
softworks,software,works
dramality,drama,reality
pedlock,pedestrian,gridlock
compunications,computer,communications
smothercate,smother,suffocate
moletronics,molecular,electronics
cigalike,cigarette,alike
Texhoma,Texas,Oklahoma
booboisie,boob,bourgeoisie
sextravaganza,sex,extravaganza
wisdumb,wisdom,dumb
girlery,girl,gallery
chromoclasm,chroma,iconoclasm
solunar,solar,lunar
obligala,obligatory,gala
weblication,Web,publication
jandal,Japanese,sandal
Dynamation,dynamic,animation
pregorexia,pregnancy,anorexia
fursonally,fur,personally
natimortality,natality,mortality
buffalypso,buffalo,calypso
cusec,cubic,second
mirthquake,mirth,earthquake
mamarazzi,mama,paparazzi
slackpack,slack,backpack
openture,open,closure
streatery,street,eatery
spoodle,spoon,ladle
democrazy,democracy,crazy
qubitope,qubit,chirotope
veganaise,vegan,mayonnaise
biballs,bib,overalls
intermestic,international,domestic
acetaldehyde,acetic,aldehyde
Fixit,Finland,exit
tendergroin,tenderloin,groin
Jamerican,Jamaican,American
incel,involuntary,celibate
radiogram,radio,telegram
memetics,meme,genetics
Twibel,Twitter,libel
ploonet,planet,moon
hatriot,hate,patriot
whiteanity,white,Christianity
dragadiddle,drag,paradiddle
stodgy,stodge,stog
mathemagical,mathematical,magical
fakelore,fake,folklore
dynafocal,dynamic,focal
cyclinac,cyclotron,linac
netpicker,net,nitpicker
eargasmic,ear,orgasmic
madware,mobile,adware
queerious,queer,curious
blawg,blog,law
indihumin,indican,humin
genrelization,genre,generalization
forevermore,forever,evermore
milblog,military,blog
fertigation,fertilize,irrigation
Arabtino,Arab,Latino
Mummerset,mummer,Somerset
frostbow,frost,rainbow
aquaponics,aquaculture,hydroponics
malestream,male,mainstream
muttrimony,mutt,matrimony
minac,minimum,activity
benzannulated,benzene,annulated
circloid,circle,cycloid
cancerette,cancer,cigarette
bumfoolery,bum,tomfoolery
fissban,fissile,ban
blunch,breakfast,lunch
cetalkonium,cetyl,benzalkonium
momic,mom,comic
femcunt,feminist,cunt
ufocal,UFO,focal
churnalist,churn,journalist
philosopause,philosophy,menopause
fuckstration,fuck,frustration
Jonsa,Jon,Sansa
sheroic,she,heroic
Snapchat,snapshot,chat
chatiquette,chat,etiquette
charismania,charisma,mania
tautism,tautology,autism
poshtel,posh,hostel
bullionaire,bullion,billionaire
logit,logistic,probit
heckfire,heck,hellfire
Europhoria,Europe,euphoria
Michigander,Michigan,gander
Euronesian,European,Polynesian
sloppery,slippery,sloppy
trioval,triangle,oval
seasteading,sea,homesteading
seekini,see,bikini
memristor,memory,resistor
brud,bro,bud
varistor,variable,resistor
craisin,cranberry,raisin
spoofball,spoof,goofball
chigga,Chinese,nigga
sexperience,sex,experience
watercise,water,exercise
whimperative,whimper,imperative
permalloy,permeable,alloy
wargasm,war,orgasm
cartooney,cartoon,attorney
deskfast,desk,breakfast
carbimazole,carboxylate,methimazole
laptronica,laptop,electronica
microphilia,micro,philia
purrfect,purr,perfect
plebvision,pleb,television
jounce,jolt,bounce
cyclarbamate,cyclopentyl,carbamate
muttnik,mutt,sputnik
yakalo,yak,buffalo
goalodicy,goal,theodicy
Vatileaks,Vatican,leaks
soundome,sound,dome
occutard,occupy,retard
Spander,Spike,Xander
splinternet,splinter,internet
rabbitat,rabbit,habitat
strawbana,strawberry,banana
carfie,carie
Texpatriate,Texas,expatriate
manstress,man,mistress
bronde,brunette,blonde
alkargen,alkarsin,oxygen
geekster,geek,hipster
numeracy,numerical,literacy
sneckdown,snow,neckdown
crantini,cranberry,martini
sphenocorona,sphenoid,corona
bikepacker,bike,backpacker
cupset,cup,upset
relfie,relationshipie
ascidiozooid,ascidium,zooid
Spuffy,Spike,Buffy
Cinerama,cinema,panorama
glyoxime,glyoxal,oxime
shitizen,shit,citizen
posolutely,positively,absolutely
phasor,phase,vector
poptimism,pop,optimism
bandikini,bandeau,bikini
dendrigraft,dendrimer,graft
theragnosis,therapy,diagnosis
lootocracy,loot,plutocracy
flexisexuality,flexible,sexuality
ruckus,ruction,rumpus
petronoia,petroleum,paranoia
concom,convention,committee
racecation,race,vacation
sixtel,sixth,barrel
chaffle,cheese,waffle
veganic,vegan,organic
politainer,politician,entertainer
angulaperturate,angular,aperturate
blort,blow,snort
unintelligentsia,unintelligent,intelligentsia
cyberspace,cybernetics,space
workation,work,vacation
globocop,global,Robocop
locsiton,local,exciton
Blackpudlian,Blackpool,Liverpudlian
azran,azimuth,range
spillionaire,spill,millionaire
Vietraq,Vietnam,Iraq
snowscoot,snowboard,scooter
crotoxin,Crotalus,toxin
lipoplatin,lipid,cisplatin
assicon,ass,emoticon
martemper,martensite,temper
Afrimerican,African,American
